Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
3,Andrei Chesnokov,6,Johan Van Herck,36 76 62,singapore,740,Singapore,1997,challenger
3,Andrei Chesnokov,2,Juan Albert Viloca-Puig,75 36 63,singapore,740,Singapore,1997,challenger
6,Johan Van Herck,,Jan Kroslak,16 63 63,singapore,740,Singapore,1997,challenger
2,Juan Albert Viloca-Puig,7,Gilbert Schaller,63 62,singapore,740,Singapore,1997,challenger
3,Andrei Chesnokov,5,Andrei Olhovskiy,67 62 64,singapore,740,Singapore,1997,challenger
6,Johan Van Herck,4,Michael Joyce,63 61,singapore,740,Singapore,1997,challenger
,Jan Kroslak,8,Filip Dewulf,62 57 64,singapore,740,Singapore,1997,challenger
2,Juan Albert Viloca-Puig,,Rogier Wassen,63 76,singapore,740,Singapore,1997,challenger
3,Andrei Chesnokov,,Donald Johnson,62 76,singapore,740,Singapore,1997,challenger
4,Michael Joyce,,Takao Suzuki,64 64,singapore,740,Singapore,1997,challenger
5,Andrei Olhovskiy,,Sander Groen,63 61,singapore,740,Singapore,1997,challenger
6,Johan Van Herck,,Fabrice Santoro,62 76,singapore,740,Singapore,1997,challenger
7,Gilbert Schaller,,Leonardo Lavalle,62 62,singapore,740,Singapore,1997,challenger
8,Filip Dewulf,Q,Mark Quinney,64 62,singapore,740,Singapore,1997,challenger
,Jan Kroslak,,Piet Norval,61 63,singapore,740,Singapore,1997,challenger
,Jan Kroslak,1,Dominik Hrbaty,63 62,singapore,740,Singapore,1997,challenger
2,Juan Albert Viloca-Puig,Q,Chad Clark,26 61 60,singapore,740,Singapore,1997,challenger
3,Andrei Chesnokov,,Lars Rehmann,63 62,singapore,740,Singapore,1997,challenger
4,Michael Joyce,Q,Claudio Pistolesi,75 61,singapore,740,Singapore,1997,challenger
5,Andrei Olhovskiy,,Frederic Fontang,61 76,singapore,740,Singapore,1997,challenger
