Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
4,Jonathan Eysseric,6) W,Antoine Benneteau,60 63,bergen,239,France F1,2014,futures
4,Jonathan Eysseric,1) W,Florent Serra,36 63 63,bergen,239,France F1,2014,futures
6) W,Antoine Benneteau,3,Yannick Mertens,64 767,bergen,239,France F1,2014,futures
1) W,Florent Serra,Q,Maxime Janvier,63 64,bergen,239,France F1,2014,futures
3,Yannick Mertens,Q,Medy Chettar,64 62,bergen,239,France F1,2014,futures
4,Jonathan Eysseric,5,Richard Becker,63 64,bergen,239,France F1,2014,futures
6) W,Antoine Benneteau,,Blazej Koniusz,16 63 63,bergen,239,France F1,2014,futures
1) W,Florent Serra,LL,Matteo Marrai,61 61,bergen,239,France F1,2014,futures
3,Yannick Mertens,,Davy Sum,62 63,bergen,239,France F1,2014,futures
4,Jonathan Eysseric,WC,Calvin Hemery,64 63,bergen,239,France F1,2014,futures
5,Richard Becker,,Juraj Masar,46 764 63,bergen,239,France F1,2014,futures
6) W,Antoine Benneteau,,Alexis Klegou,64 46 64,bergen,239,France F1,2014,futures
Q,Medy Chettar,,Thomas Grinberg,62 61,bergen,239,France F1,2014,futures
Q,Maxime Janvier,LL,Gilles De Sousa,62 763,bergen,239,France F1,2014,futures
,Blazej Koniusz,Q,Xavier Pujo,63 63,bergen,239,France F1,2014,futures
1) W,Florent Serra,,Gleb Sakharov,75 63,bergen,239,France F1,2014,futures
Q,Xavier Pujo,2,Aldin Setkic,64 36 61,bergen,239,France F1,2014,futures
3,Yannick Mertens,,Gibril Diarra,57 62 64,bergen,239,France F1,2014,futures
4,Jonathan Eysseric,,Andis Juska,62 763,bergen,239,France F1,2014,futures
5,Richard Becker,,Gregoire Barrere,765 765,bergen,239,France F1,2014,futures
6) W,Antoine Benneteau,,Tomislav Brkic,75 64,bergen,239,France F1,2014,futures
,Thomas Grinberg,7,Laurent Lokoli,64 26 63,bergen,239,France F1,2014,futures
Q,Maxime Janvier,8,Constant Lestienne,64 62,bergen,239,France F1,2014,futures
Q,Medy Chettar,,Cedrick Commin,64 61,bergen,239,France F1,2014,futures
LL,Gilles De Sousa,Q,Joffrey De Schepper,768 766,bergen,239,France F1,2014,futures
WC,Calvin Hemery,Q,Gregoire Jacq,7610 26 64,bergen,239,France F1,2014,futures
,Alexis Klegou,,Dorian Descloix,766 46 63,bergen,239,France F1,2014,futures
,Blazej Koniusz,Q,Alexandre Muller,62 61,bergen,239,France F1,2014,futures
LL,Matteo Marrai,,Maxime Forcin,673 62 64,bergen,239,France F1,2014,futures
,Juraj Masar,Q,Alexis Gautier,36 60 10 (RET),bergen,239,France F1,2014,futures
,Davy Sum,,Alexandre Favrot,63 16 61,bergen,239,France F1,2014,futures
2) ,Tak Khunn Wang,1,Gianluca Naso,61 62,port-elizabeth,263,Egypt F1,2014,futures
1,Gianluca Naso,,Nikola Cacic,63 21 (RET),port-elizabeth,263,Egypt F1,2014,futures
2) ,Tak Khunn Wang,6,Ricardo Rodriguez - Pace,16 762 764,port-elizabeth,263,Egypt F1,2014,futures
1,Gianluca Naso,Q,Yong Bum Seo,62 63,port-elizabeth,263,Egypt F1,2014,futures
2) ,Tak Khunn Wang,Q,Rafal Teurer,60 60,port-elizabeth,263,Egypt F1,2014,futures
6,Ricardo Rodriguez - Pace,3,Alberto Brizzi,767 672 763,port-elizabeth,263,Egypt F1,2014,futures
,Nikola Cacic,4) W,Marc Rath,762 64,port-elizabeth,263,Egypt F1,2014,futures
1,Gianluca Naso,,Ji Sung Nam,64 64,port-elizabeth,263,Egypt F1,2014,futures
2) ,Tak Khunn Wang,Q,Antonio Terzo,62 61,port-elizabeth,263,Egypt F1,2014,futures
3,Alberto Brizzi,WC,Stanislav Korshunov,63 62,port-elizabeth,263,Egypt F1,2014,futures
4) W,Marc Rath,,Pol Toledo Bague,64 46 64,port-elizabeth,263,Egypt F1,2014,futures
6,Ricardo Rodriguez - Pace,WC,Mohamed Adnaoui,62 60,port-elizabeth,263,Egypt F1,2014,futures
Q,Rafal Teurer,7,Bastian Trinker,63 53 (RET),port-elizabeth,263,Egypt F1,2014,futures
,Nikola Cacic,8,Ivan Nedelko,62 64,port-elizabeth,263,Egypt F1,2014,futures
Q,Yong Bum Seo,,Theo Fournerie,62 (RET),port-elizabeth,263,Egypt F1,2014,futures
1,Gianluca Naso,Q,Filippo Borella,61 31 (RET),port-elizabeth,263,Egypt F1,2014,futures
2) ,Tak Khunn Wang,,Jung-Woong Na,46 60 63,port-elizabeth,263,Egypt F1,2014,futures
3,Alberto Brizzi,,Ugo Nastasi,64 26 62,port-elizabeth,263,Egypt F1,2014,futures
4) W,Marc Rath,Q,Igor Sobolta,763 36 61,port-elizabeth,263,Egypt F1,2014,futures
