Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
3,Thomas Muster,,Jimmy Arias,36 62 75,adelaide,7308,Adelaide,1990,world
3,Thomas Muster,1,Sergi Bruguera,26 62 76,adelaide,7308,Adelaide,1990,world
,Jimmy Arias,,Jean-Philippe Fleurian,62 63,adelaide,7308,Adelaide,1990,world
1,Sergi Bruguera,,Michael Stich,67 60 64,adelaide,7308,Adelaide,1990,world
3,Thomas Muster,WC,Mark Kratzmann,75 64,adelaide,7308,Adelaide,1990,world
,Jimmy Arias,6,Mark Koevermans,63 64,adelaide,7308,Adelaide,1990,world
,Jean-Philippe Fleurian,,Jerome Potier,63 36 61,adelaide,7308,Adelaide,1990,world
1,Sergi Bruguera,WC,Broderick Dyke,67 62 63,adelaide,7308,Adelaide,1990,world
3,Thomas Muster,,John Fitzgerald,62 76,adelaide,7308,Adelaide,1990,world
,Jimmy Arias,4,Alexander Volkov,64 76,adelaide,7308,Adelaide,1990,world
WC,Mark Kratzmann,5,Paul Annacone,64 64,adelaide,7308,Adelaide,1990,world
6,Mark Koevermans,,Patrik Kuhnen,63 36 61,adelaide,7308,Adelaide,1990,world
,Michael Stich,7,Michiel Schapers,64 63,adelaide,7308,Adelaide,1990,world
,Jerome Potier,8,Marc Rosset,64 64,adelaide,7308,Adelaide,1990,world
,Jean-Philippe Fleurian,Q,Udo Riglewski,63 64,adelaide,7308,Adelaide,1990,world
1,Sergi Bruguera,Q,Per Henricsson,76 62,adelaide,7308,Adelaide,1990,world
Q,Udo Riglewski,2,Goran Ivanisevic,16 63 61,adelaide,7308,Adelaide,1990,world
3,Thomas Muster,,Claudio Pistolesi,64 46 63,adelaide,7308,Adelaide,1990,world
4,Alexander Volkov,WC,Todd Woodbridge,64 16 64,adelaide,7308,Adelaide,1990,world
5,Paul Annacone,,Bruno Oresar,61 64,adelaide,7308,Adelaide,1990,world
6,Mark Koevermans,Q,Alexander Mronz,61 64,adelaide,7308,Adelaide,1990,world
7,Michiel Schapers,,Petr Korda,63 64,adelaide,7308,Adelaide,1990,world
8,Marc Rosset,,Andrei Cherkasov,62 64,adelaide,7308,Adelaide,1990,world
,Jimmy Arias,,Mark Woodforde,76 63,adelaide,7308,Adelaide,1990,world
WC,Broderick Dyke,,Gary Muller,64 64,adelaide,7308,Adelaide,1990,world
,John Fitzgerald,Q,Xavier Daufresne,36 75 62,adelaide,7308,Adelaide,1990,world
,Jean-Philippe Fleurian,,Tom Nijssen,63 60,adelaide,7308,Adelaide,1990,world
