id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,pageranks,wta count,itf count,comp color
4,Barbara Gatica,,10,18,28,12,23,35,8,0.28828033,0.308972713,1.21E-04,3,0,4,0.210769236,5.29E-05,0,35,blue
5,Nagi Hanatani,,13,23,36,13,23,36,9,0.302291113,0.327543331,1.73E-04,5,0,4,0.071428575,4.93E-05,0,36,green
14,Aslina Chua,,5,8,13,5,8,13,9,0.281629365,0.302677822,1.63E-04,5,0,4,0.032051284,6.09E-05,9,4,green
15,Victoria Valls Comamala,,6,19,25,6,20,26,9,0.289559302,0.316296431,1.48E-04,4,0,4,0.053333335,3.13E-05,0,26,brown
16,Johanna Hyoty,,11,21,32,11,22,33,9,0.306282067,0.332710897,1.49E-04,0,0,4,0.055913977,3.64E-05,1,32,purple
20,Anastasia Shaulskaya,,8,10,18,8,11,19,9,0.285839416,0.30692511,2.23E-05,0,0,4,0.05882353,4.25E-05,0,19,purple
25,Maika Ozaki,,16,19,35,18,20,38,9,0.28743394,0.31417449,8.25E-05,5,0,4,0.21117425,6.77E-05,0,38,green
26,Giulia Pasini,,14,27,41,15,33,48,9,0.308055381,0.33600167,2.23E-04,4,0,4,0.10426829,5.55E-05,0,48,brown
27,Chalena Scholl,,18,18,36,19,18,37,10,0.291490502,0.318806119,3.79E-05,3,0,4,0.110084035,8.13E-05,0,37,blue
30,Giulia Gabba,,106,93,199,121,117,238,9,0.328876646,0.367856575,3.96E-04,1,0,4,0.116083488,4.41E-04,0,238,red
31,Deborah Kerfs,,41,53,94,42,54,96,9,0.327731655,0.359429852,5.65E-04,0,0,4,0.040492117,1.58E-04,0,96,purple
44,Eleni Christofi,,8,10,18,8,10,18,9,0.292658137,0.313338116,7.33E-05,0,0,4,0.066176474,4.87E-05,0,18,purple
47,Caroline Magnusson,,6,12,18,6,12,18,10,0.288297308,0.312365063,5.56E-06,0,0,4,0.065359481,2.88E-05,0,18,purple
51,Olga Saez Larra,,132,80,212,159,103,262,9,0.339765392,0.377214926,0.001168079,0,0,4,0.059079017,4.99E-04,0,262,purple
